test_id,test_name,healthians_parameter_id,is_available,display_order,parameter_key,unit,meaning,lower_range_male,higher_range_male,lower_range_female,higher_range_female,causes_when_high,causes_when_low,effects_when_high,effects_when_low,what_to_do_when_low,what_to_do_when_high,parameter_type,price,original_price,is_most_popular,gender_suitability
68,Absolute Basophils Count,,TRUE,,absolute_basophils_count,10^3/uL,Absolute Basophil Count measures the exact number of basophils — a type of white blood cell — present in your blood. These cells play a role in triggering the body's response to allergens and inflammation. This marker helps identify if your immune system is reacting to something unusual.,-3,0.1,0.02,10,"Allergic reactions, chronic inflammation, or rare blood/bone marrow disorders can cause basophil levels to rise. Severe allergic reactions (where cells get rapidly used up), prolonged steroid use, or an overactive thyroid can lead to lower-than-normal counts.","Allergic reactions, chronic inflammation, or rare blood/bone marrow disorders can cause basophil levels to rise. Severe allergic reactions (where cells get rapidly used up), prolonged steroid use, or an overactive thyroid can lead to lower-than-normal counts.","May signal ongoing allergic responses or inflammatory conditions that the immune system is actively reacting to.
It may also indicate immune suppression or excessive cell consumption during acute reactions.","May signal ongoing allergic responses or inflammatory conditions that the immune system is actively reacting to.
It may also indicate immune suppression or excessive cell consumption during acute reactions.",Usually does not require direct treatment. Focus on managing the root cause such as reducing steroid use (only under medical guidance) or addressing thyroid issues if present.,Consult a doctor to identify and manage any underlying allergic or inflammatory condition. Avoiding known allergens and treating chronic conditions can help bring levels back to normal.,test,,,FALSE,
73,ESR Automated,,TRUE,,esr_automated,,"ESR Automated measures how quickly red blood cells settle to the bottom of a test tube as an indirect measure of inflammation in the body, performed using an automated analyzer for greater speed and consistency. It is a broad diagnostic marker rather than a specific one, and is best interpreted alongside other inflammation markers like Hs-CRP for a more complete picture of inflammatory activity.",,,,,"Infections, inflammation, autoimmune conditions, anemia, and certain cancers can raise ESR, while age and pregnancy naturally elevate it, and certain medications or low fibrinogen levels can cause it to fall below normal.","Infections, inflammation, autoimmune conditions, anemia, and certain cancers can raise ESR, while age and pregnancy naturally elevate it, and certain medications or low fibrinogen levels can cause it to fall below normal.","A persistently elevated ESR points to ongoing inflammation or an underlying condition the body is actively responding to, whereas a low ESR is generally not a concern and reflects the absence of significant inflammatory activity.","A persistently elevated ESR points to ongoing inflammation or an underlying condition the body is actively responding to, whereas a low ESR is generally not a concern and reflects the absence of significant inflammatory activity.",No intervention is needed — a low ESR is generally reassuring and maintaining an anti-inflammatory lifestyle is sufficient.,"Consult a doctor to identify the underlying cause, as ESR alone does not pinpoint a specific condition, and address the root inflammation or infection accordingly — ESR responds more slowly than CRP so expect changes over several weeks.",test,,,FALSE,
14,Basophils,,TRUE,,basophils,%,"Basophils are a type of white blood cell that contain granules filled with substances like histamine, which are released during allergic or inflammatory reactions. The basophil count refers to the percentage of these cells present in your blood. Although they are the rarest white blood cells, they play an important role in triggering and regulating the body's immune response. Abnormal levels can point to allergic conditions, infections, or in rare cases, blood disorders.",0,2,0,2,"Allergic reactions, certain infections, inflammatory conditions, thyroid disorders, and some blood disorders can raise basophil levels, while severe acute allergic reactions or prolonged steroid use can cause them to fall below normal.","Allergic reactions, certain infections, inflammatory conditions, thyroid disorders, and some blood disorders can raise basophil levels, while severe acute allergic reactions or prolonged steroid use can cause them to fall below normal.","Elevated basophil levels often indicate that the immune system is actively responding to an allergen or inflammation, whereas low levels may suggest immune suppression or that the cells have been rapidly depleted during an acute reaction.","Elevated basophil levels often indicate that the immune system is actively responding to an allergen or inflammation, whereas low levels may suggest immune suppression or that the cells have been rapidly depleted during an acute reaction.",Low basophil counts rarely require direct treatment. Addressing the root cause such as reducing steroid use under medical supervision or managing acute allergic episodes is usually sufficient.,"Managing the underlying allergic or inflammatory condition is the primary step. Identifying triggers, avoiding allergens, and working with a doctor to treat any chronic conditions can help normalize levels within hours to days.",test,,,FALSE,
67,Total Testosterone,,TRUE,,total_testosterone,ng/mL,"Testosterone is the primary male sex hormone, produced mainly in the testes in men and in smaller amounts in the ovaries and adrenal glands in women. It is essential for the development of male physical characteristics, but in both sexes it plays a significant role in mood, cognition, libido, metabolism, energy levels, cardiovascular health, and bone density. Total testosterone measures the combined amount of both bound and free testosterone circulating in the blood. It is one of the most important markers for assessing hormonal health in both men and women.",1.98,6.79,0.1,0.75,"In men, levels naturally decline with age after 30, and poor sleep, high stress, obesity, and certain medications can accelerate this drop, while hormonal disorders, anabolic steroid use, or adrenal and testicular conditions can push levels abnormally high in either sex.","In men, levels naturally decline with age after 30, and poor sleep, high stress, obesity, and certain medications can accelerate this drop, while hormonal disorders, anabolic steroid use, or adrenal and testicular conditions can push levels abnormally high in either sex.","Low testosterone can lead to fatigue, low mood, reduced libido, poor concentration, muscle loss, and increased body fat, whereas abnormally high levels may cause aggression, hormonal imbalances, fertility issues, and cardiovascular strain over time.","Low testosterone can lead to fatigue, low mood, reduced libido, poor concentration, muscle loss, and increased body fat, whereas abnormally high levels may cause aggression, hormonal imbalances, fertility issues, and cardiovascular strain over time.","Incorporate regular strength training and prioritize adequate sleep, as both have a direct positive impact on testosterone production. Managing stress, maintaining a healthy weight, and reducing excess alcohol intake can produce measurable improvements over 2–3 months. Medical or hormonal therapy may be considered for significantly low levels under a doctor's guidance.","Consult a doctor to identify the underlying cause, particularly if steroid use or a hormonal disorder is suspected. Maintaining a healthy body weight and avoiding substances that artificially elevate levels are important first steps.",test,,,FALSE,
75,PCV Hematocrit,,TRUE,,pcv_hematocrit,%,Hematocrit measures the percentage of your total blood volume that is made up of red blood cells. It is a direct reflection of your blood's ability to carry oxygen and also gives insight into your hydration status. Both abnormally high and low values can signal underlying health issues that are worth investigating. It is closely related to hemoglobin and is often assessed together with it.,,,36,46,"Dehydration, high-altitude living, or intense endurance training can raise hematocrit levels, while iron deficiency, blood loss, poor nutrition, or bone marrow disorders can cause them to fall below the normal range.","Dehydration, high-altitude living, or intense endurance training can raise hematocrit levels, while iron deficiency, blood loss, poor nutrition, or bone marrow disorders can cause them to fall below the normal range.","Elevated hematocrit can thicken the blood, increasing the risk of clots and poor circulation, whereas low levels reduce the blood's oxygen-carrying capacity, leading to fatigue, breathlessness, and general weakness.","Elevated hematocrit can thicken the blood, increasing the risk of clots and poor circulation, whereas low levels reduce the blood's oxygen-carrying capacity, leading to fatigue, breathlessness, and general weakness.","Support red blood cell production by ensuring sufficient intake of iron, vitamin B12, and folate through diet or supplements as advised by a doctor. Meaningful improvement typically takes around 8–12 weeks with consistent effort.","Ensure adequate daily hydration as dehydration is the most common cause of a temporary spike. If levels remain high despite good hydration, consult a doctor to rule out any underlying condition.",test,,,FALSE,
109,CRP,,TRUE,,crp,mg/L,"CRP is a protein produced by the liver in response to inflammation, infection, or tissue damage anywhere in the body, and its blood levels rise rapidly in response to these triggers. It is one of the most widely used markers for detecting and monitoring acute inflammation and infection, and is best interpreted alongside other markers like ESR and Hs-CRP for a more complete picture of the body's inflammatory state.",1,,1,,"Bacterial infections, autoimmune conditions, inflammatory diseases, tissue injury, surgery, obesity, and chronic stress can all significantly raise CRP levels, while the absence of active infection or inflammation and a healthy anti-inflammatory lifestyle keep CRP levels low or undetectable.","Bacterial infections, autoimmune conditions, inflammatory diseases, tissue injury, surgery, obesity, and chronic stress can all significantly raise CRP levels, while the absence of active infection or inflammation and a healthy anti-inflammatory lifestyle keep CRP levels low or undetectable.","Elevated CRP signals that the body is actively dealing with significant inflammation or infection that if persistent can increase the risk of cardiovascular disease, organ damage, and immune dysfunction, whereas low or undetectable CRP reflects a well-regulated inflammatory response and good overall health.","Elevated CRP signals that the body is actively dealing with significant inflammation or infection that if persistent can increase the risk of cardiovascular disease, organ damage, and immune dysfunction, whereas low or undetectable CRP reflects a well-regulated inflammatory response and good overall health.",Low CRP is a positive finding requiring no intervention — continuing a balanced anti-inflammatory lifestyle is sufficient to maintain healthy inflammation levels.,"Consult a doctor to identify the underlying source of inflammation or infection, and support recovery through an anti-inflammatory diet, regular physical activity, adequate sleep, and stress management — acute elevations typically resolve within 2–4 weeks once the trigger is addressed.",test,,,FALSE,
13,Eosinophils,,TRUE,,eosinophils,%,"Eosinophils are a type of white blood cell that play a key role in the body's response to allergens and parasitic infections. Their count reflects the percentage of these cells circulating in your blood. Elevated levels are typically a signal that the body is reacting to an allergy, asthma, or a parasitic infection. Monitoring this marker helps in identifying and managing immune responses that may otherwise go undetected.",1,6,1,6,"Allergies, asthma, eczema, parasitic infections, certain autoimmune conditions, and drug reactions can significantly raise eosinophil levels, while corticosteroid use and high physical or emotional stress can suppress them below normal.","Allergies, asthma, eczema, parasitic infections, certain autoimmune conditions, and drug reactions can significantly raise eosinophil levels, while corticosteroid use and high physical or emotional stress can suppress them below normal.","High eosinophil levels suggest the immune system is actively responding to an allergen, infection, or inflammation, whereas low levels are generally not harmful on their own but may reflect steroid use or a suppressed immune state.","High eosinophil levels suggest the immune system is actively responding to an allergen, infection, or inflammation, whereas low levels are generally not harmful on their own but may reflect steroid use or a suppressed immune state.","Low eosinophil counts rarely need direct treatment. If linked to steroid use or chronic stress, working with a doctor to gradually adjust medication or manage stress levels is the recommended approach.","Identify and address the root trigger managing allergies, treating parasitic infections, or reviewing medications with a doctor. Reducing exposure to environmental allergens can also help bring levels down within days of removing the cause.",test,,,FALSE,
5,MCH,,TRUE,,mch,pg,"MCH measures the average amount of hemoglobin contained within a single red blood cell. It helps determine whether your red blood cells are carrying sufficient oxygen-binding protein to meet the body's needs. This marker is particularly useful in identifying the type and cause of anemia. Low MCH is most commonly associated with iron deficiency, making it a key marker for nutritional assessment.",27,32,27,32,"Low MCH is typically driven by iron deficiency, thalassemia traits, chronic inflammation, or long-term disease, while high MCH is usually linked to vitamin B12 or folate deficiency, which affects how red blood cells are formed.","Low MCH is typically driven by iron deficiency, thalassemia traits, chronic inflammation, or long-term disease, while high MCH is usually linked to vitamin B12 or folate deficiency, which affects how red blood cells are formed.","Low MCH means red blood cells are carrying less oxygen than needed, which can result in fatigue, weakness, and poor stamina, whereas high MCH indicates larger, less efficient red blood cells that may also impair the body's oxygen delivery over time.","Low MCH means red blood cells are carrying less oxygen than needed, which can result in fatigue, weakness, and poor stamina, whereas high MCH indicates larger, less efficient red blood cells that may also impair the body's oxygen delivery over time.","Ensure adequate iron intake through iron-rich foods or supplements if deficient. Also address any underlying chronic inflammation or disease with medical guidance. As new red blood cells are produced with better hemoglobin content, levels generally improve over 2–3 months.","Increase intake of vitamin B12 and folate through diet or supplements as recommended by a doctor. Foods like eggs, dairy, leafy greens, and legumes are good natural sources. Improvement is gradual and typically seen over 2–3 months.",test,,,FALSE,
4,MCV,,TRUE,,mcv,fL,"MCV measures the average size of your red blood cells, which provides important clues about the underlying cause of anemia and nutritional deficiencies. Smaller-than-normal cells typically point to iron-related issues, while larger-than-normal cells suggest a deficiency in vitamin B12 or folate. It is one of the most useful markers for narrowing down the type of anemia a person may have. Changes in MCV are gradual since red blood cells live for approximately 120 days.",83,101,83,101,"Iron deficiency shrinks red blood cells lowering MCV, while B12 or folate deficiency, excess alcohol consumption, liver disease, thyroid disorders, or certain medications can cause cells to enlarge and push MCV above the normal range.","Iron deficiency shrinks red blood cells lowering MCV, while B12 or folate deficiency, excess alcohol consumption, liver disease, thyroid disorders, or certain medications can cause cells to enlarge and push MCV above the normal range.","Low MCV indicates smaller, less efficient red blood cells that carry less oxygen, leading to fatigue and weakness, whereas high MCV reflects oversized cells that do not function optimally, also impairing oxygen delivery and causing similar symptoms.","Low MCV indicates smaller, less efficient red blood cells that carry less oxygen, leading to fatigue and weakness, whereas high MCV reflects oversized cells that do not function optimally, also impairing oxygen delivery and causing similar symptoms.","Focus on improving iron intake through diet or supplementation under medical guidance. Ensuring a balanced intake of key nutrients supports the production of properly sized red blood cells, with gradual improvement expected over 2–4 months.","Increase intake of vitamin B12 and folate through foods like eggs, dairy, leafy greens, and legumes, or through supplements if recommended by a doctor. Reducing alcohol consumption and addressing any thyroid or liver conditions can also help normalize cell size over 2–4 months.",test,,,FALSE,
3,Haematocrit (HCT),,TRUE,,haematocrit_hct,%,Hematocrit measures the percentage of your total blood volume that is made up of red blood cells. It is a direct reflection of your blood's ability to carry oxygen and also gives insight into your hydration status. Both abnormally high and low values can signal underlying health issues that are worth investigating. It is closely related to hemoglobin and is often assessed together with it.,40,50,36,46,"Dehydration, high-altitude living, or intense endurance training can raise hematocrit levels, while iron deficiency, blood loss, poor nutrition, or bone marrow disorders can cause them to fall below the normal range.","Dehydration, high-altitude living, or intense endurance training can raise hematocrit levels, while iron deficiency, blood loss, poor nutrition, or bone marrow disorders can cause them to fall below the normal range.","Elevated hematocrit can thicken the blood, increasing the risk of clots and poor circulation, whereas low levels reduce the blood's oxygen-carrying capacity, leading to fatigue, breathlessness, and general weakness.","Elevated hematocrit can thicken the blood, increasing the risk of clots and poor circulation, whereas low levels reduce the blood's oxygen-carrying capacity, leading to fatigue, breathlessness, and general weakness.","Support red blood cell production by ensuring sufficient intake of iron, vitamin B12, and folate through diet or supplements as advised by a doctor. Meaningful improvement typically takes around 8–12 weeks with consistent effort.","Ensure adequate daily hydration as dehydration is the most common cause of a temporary spike. If levels remain high despite good hydration, consult a doctor to rule out any underlying condition.",test,,,FALSE,
